"lsoa","output"
"E00026140",2917.7
"E00026141",3819.5
"E00026143",4766.1
"E00026144",6030.5
"E00026145",8396.9
"E00026146",7774.0
"E00026147",10144.7
"E00026148",9929.3
"E00026149",8544.2
"E00026150",2328.4
"E00026151",5452.2
"E00026152",7660.0
"E00026153",10339.0
"E00026154",6689.9
"E00026155",9820.6
"E00026156",4557.8
"E00026157",7074.3
"E00026158",3958.2
"E00026159",11626.8
"E00026160",7956.8
"E00026161",10431.7
"E00026162",9274.2
"E00026163",12219.4
"E00026164",5057.1
"E00026165",12424.2
"E00026166",1779.7
"E00026167",14863.4
"E00026168",7021.7
"E00026169",4517.3
"E00026170",6638.3
"E00026171",5154.3
"E00026172",12366.1
"E00026173",6713.4
"E00026174",4438.9
"E00026175",3470.0
"E00026176",6959.8
"E00026177",7242.3
"E00026178",7680.2
"E00026179",3463.8
"E00026180",8647.7
"E00026181",6382.6
"E00026182",6576.4
"E00026183",3156.7
"E00026184",7850.7
"E00026185",9389.5
"E00026186",12023.8
"E00026187",4844.4
"E00026188",7041.7
"E00026189",8463.5
"E00026190",6633.9
"E00026191",516.7
"E00026192",7568.1
"E00026193",8351.3
"E00026194",9441.0
"E00026195",6129.0
"E00026196",6736.8
"E00026197",8099.7
"E00026198",5972.7
"E00026199",2384.5
"E00026200",7428.6
"E00026201",3699.7
"E00026202",4290.1
"E00026203",5573.8
"E00026204",3109.6
"E00026205",7493.6
"E00026206",5671.1
"E00026207",661.8
"E00026208",1550.4
"E00026209",3243.5
"E00026210",524.0
"E00026211",6173.4
"E00026212",4840.9
"E00026213",6792.8
"E00026214",3542.9
"E00026215",3733.7
"E00026216",7836.6
"E00026217",6236.6
"E00026218",6151.2
"E00026219",13309.6
"E00026220",7782.4
"E00026221",4099.2
"E00026222",9030.0
"E00026223",10212.4
"E00026224",11361.9
"E00026225",10018.1
"E00026227",8449.4
"E00026228",8641.0
"E00026230",9748.9
"E00026231",6876.5
"E00026232",13806.5
"E00026233",1325.8
"E00026234",11276.6
"E00026235",5054.9
"E00026236",6899.7
"E00026237",7575.8
"E00026238",4734.7
"E00026239",9140.6
"E00026241",9721.1
"E00026242",7472.3
"E00026243",6033.4
"E00026244",7124.6
"E00026245",8323.1
"E00026246",8080.0
"E00026247",8247.2
"E00026248",7520.0
"E00026250",7331.7
"E00026251",2886.9
"E00026252",7513.2
"E00026254",4905.7
"E00026255",5691.5
"E00026257",12549.0
"E00026258",4069.2
"E00026259",4824.0
"E00026260",14883.7
"E00026261",16172.2
"E00026262",10407.5
"E00026263",10266.3
"E00026264",2530.7
"E00026265",7651.7
"E00026266",22795.0
"E00026267",924.0
"E00026268",16279.1
"E00026269",21379.3
"E00026270",17366.3
"E00026272",5141.8
"E00026273",10154.8
"E00026274",6385.4
"E00026275",5171.1
"E00026277",3239.6
"E00026278",7979.0
"E00026279",8201.1
"E00026280",6118.1
"E00026281",4637.9
"E00026282",20368.4
"E00026283",3612.0
"E00026284",19526.3
"E00026285",12649.6
"E00026286",10220.6
"E00026287",8647.3
"E00026288",3732.5
"E00026289",2322.4
"E00026290",9512.8
"E00026291",20632.2
"E00026292",8315.5
"E00026293",1984.7
"E00026294",13268.0
"E00026295",7578.9
"E00026296",1525.3
"E00026297",12206.6
"E00026298",11438.6
"E00026299",1371.6
"E00026300",7916.7
"E00026301",3095.0
"E00026302",8872.0
"E00026304",7532.2
"E00026305",8156.0
"E00026306",5427.8
"E00026307",6060.6
"E00026308",20625.0
"E00026309",8313.5
"E00026310",21434.6
"E00026312",16983.1
"E00026313",3861.2
"E00026314",19644.3
"E00026315",14927.5
"E00026316",22584.7
"E00026317",4278.6
"E00026318",7293.7
"E00026319",13361.3
"E00026320",13433.5
"E00026321",13973.8
"E00026322",3801.5
"E00026323",12905.0
"E00026324",6654.9
"E00026325",6224.4
"E00026326",7309.9
"E00026327",8762.9
"E00026328",10072.3
"E00026329",9516.5
"E00026330",4952.1
"E00026331",6630.4
"E00026332",9563.1
"E00026333",4322.4
"E00026335",15752.2
"E00026336",9046.2
"E00026337",13050.4
"E00026338",20617.8
"E00026343",1889.4
"E00026344",3610.9
"E00026345",2026.5
"E00026346",14937.2
"E00026348",14717.0
"E00026349",2817.8
"E00026350",3027.1
"E00026351",2901.2
"E00026352",5657.1
"E00026353",2975.0
"E00026354",3202.1
"E00026355",3131.7
"E00026356",11022.7
"E00026357",13495.9
"E00026358",11108.2
"E00026359",9825.7
"E00026360",9246.6
"E00026361",10089.3
"E00026362",2688.4
"E00026363",9594.6
"E00026364",6713.6
"E00026365",4082.2
"E00026366",765.6
"E00026367",6282.6
"E00026369",9882.6
"E00026371",10515.0
"E00026372",6464.6
"E00026373",10802.7
"E00026374",6247.2
"E00026375",8439.7
"E00026376",8232.0
"E00026379",9062.5
"E00026381",8741.5
"E00026383",12040.1
"E00026387",11477.3
"E00026392",7136.3
"E00026393",7631.6
"E00026395",7321.7
"E00026396",7432.4
"E00026397",14686.0
"E00026398",5262.3
"E00026400",4186.9
"E00026402",1743.7
"E00026403",12472.7
"E00026405",5141.8
"E00026406",7253.7
"E00026407",9846.2
"E00026408",2953.3
"E00026409",5926.4
"E00026410",10481.0
"E00026411",12170.3
"E00026412",9682.5
"E00026413",15079.8
"E00026414",6560.2
"E00026415",19964.3
"E00026416",10312.5
"E00026417",12089.1
"E00026418",1211.0
"E00026419",12642.9
"E00026420",14212.5
"E00026421",5118.4
"E00026422",5870.0
"E00026423",9680.9
"E00026424",15000.0
"E00026425",5322.6
"E00026426",9132.9
"E00026427",4404.1
"E00026428",10632.9
"E00026429",9248.4
"E00026430",5283.6
"E00026431",1915.0
"E00026432",6232.1
"E00026433",15451.0
"E00026434",3095.1
"E00026435",7325.8
"E00026436",6570.5
"E00026437",6983.0
"E00026438",8839.5
"E00026439",5893.3
"E00026440",6773.1
"E00026441",14060.4
"E00026442",10648.5
"E00026443",5273.8
"E00026444",10868.5
"E00026445",10947.1
"E00026446",13739.8
"E00026447",6569.6
"E00026448",4526.7
"E00026449",11643.8
"E00026450",9871.0
"E00026451",14786.3
"E00026452",16589.4
"E00026453",12188.3
"E00026454",4407.2
"E00026455",6156.4
"E00026457",12811.5
"E00026458",3609.8
"E00026459",9049.0
"E00026460",10590.9
"E00026461",6427.6
"E00026462",3706.3
"E00026463",9838.1
"E00026464",4754.8
"E00026465",18074.1
"E00026466",13471.5
"E00026467",7945.2
"E00026468",5818.2
"E00026469",8156.3
"E00026470",8987.3
"E00026471",7585.4
"E00026472",8714.8
"E00026473",10994.3
"E00026474",12678.0
"E00026475",14700.0
"E00026476",6661.8
"E00026477",14136.9
"E00026478",3564.1
"E00026479",4647.6
"E00026480",7146.4
"E00026481",3748.5
"E00026482",4172.6
"E00026483",4878.0
"E00026484",5964.0
"E00026485",7901.6
"E00026487",2061.0
"E00026488",12640.0
"E00026489",1633.8
"E00026490",5640.1
"E00026491",1416.0
"E00026492",7350.4
"E00026493",11356.7
"E00026495",12944.2
"E00026496",13778.3
"E00026497",3511.3
"E00026498",9915.8
"E00026501",15189.4
"E00026502",17157.2
"E00026503",4669.5
"E00026504",12127.7
"E00026505",8701.7
"E00026506",15988.2
"E00026507",2905.9
"E00026508",16864.4
"E00026510",16707.8
"E00026511",32846.7
"E00026512",28054.1
"E00026514",10433.1
"E00026515",14264.7
"E00026516",23073.8
"E00026519",22996.3
"E00026521",6635.0
"E00026522",6203.3
"E00026523",30222.2
"E00026524",11500.0
"E00026525",6774.2
"E00026526",2104.5
"E00026527",3981.1
"E00026528",3229.6
"E00026529",12913.4
"E00026530",21420.5
"E00026531",7652.9
"E00026532",7940.6
"E00026533",9808.1
"E00026534",10266.7
"E00026537",16649.7
"E00026539",14692.9
"E00026540",16586.1
"E00026542",21755.1
"E00026543",16882.6
"E00026544",18450.2
"E00026545",27914.1
"E00026547",1765.5
"E00026548",24439.3
"E00026550",24448.8
"E00026552",15269.7
"E00026553",25077.7
"E00026554",20403.6
"E00026555",22710.8
"E00026556",16961.3
"E00026557",10416.7
"E00026558",7701.5
"E00026561",6289.9
"E00026563",9061.7
"E00026564",6270.1
"E00026565",18593.0
"E00026566",22208.8
"E00026567",15601.3
"E00026568",15866.3
"E00026569",13256.4
"E00026570",22755.6
"E00026571",9425.6
"E00026572",27627.1
"E00026573",9394.7
"E00026574",9502.6
"E00026575",5057.5
"E00026576",2880.9
"E00026577",3052.6
"E00026578",9782.6
"E00026579",6987.4
"E00026580",7909.1
"E00026581",6406.0
"E00026582",7760.2
"E00026583",8901.7
"E00026584",6804.8
"E00026585",4823.3
"E00026586",8932.7
"E00026587",7000.0
"E00026588",8392.1
"E00026589",5469.0
"E00026590",7029.9
"E00026591",8813.6
"E00026592",7480.2
"E00026593",6406.0
"E00026594",4647.7
"E00026595",6710.5
"E00026596",6247.3
"E00026597",5123.7
"E00026598",4589.1
"E00026599",8368.6
"E00026600",7191.6
"E00026601",2897.2
"E00026602",4933.3
"E00026603",6496.8
"E00026604",11355.9
"E00026605",6650.7
"E00026606",11612.9
"E00026608",5499.1
"E00026609",4530.5
"E00026610",3671.6
"E00026611",685.4
"E00026613",6674.6
"E00026614",3493.4
"E00026615",5147.8
"E00026616",6949.8
"E00026617",8485.6
"E00026618",2342.8
"E00026619",2658.5
"E00026620",7657.3
"E00026621",8742.1
"E00026622",2345.7
"E00026623",8103.9
"E00026624",9237.7
"E00026625",5571.7
"E00026626",3951.1
"E00026627",8672.8
"E00026628",2697.5
"E00026629",8388.7
"E00026630",693.7
"E00026631",3151.4
"E00026632",15333.3
"E00026634",6623.4
"E00026635",6151.1
"E00026636",8699.4
"E00026638",2420.0
"E00026639",2037.1
"E00026640",4095.8
"E00026641",9471.5
"E00026642",14331.8
"E00026643",13088.8
"E00026644",11793.9
"E00026645",1434.3
"E00026646",449.2
"E00026647",6651.3
"E00026648",14047.6
"E00026649",5043.6
"E00026650",4980.2
"E00026651",9923.7
"E00026652",8574.3
"E00026653",6793.5
"E00026654",5498.2
"E00026655",5132.2
"E00026656",6928.3
"E00026657",8539.3
"E00026658",6426.4
"E00026659",4332.3
"E00026660",7786.4
"E00026661",345.2
"E00026662",9361.1
"E00026663",4558.6
"E00026664",5741.8
"E00026665",668.4
"E00026666",6935.1
"E00026667",4285.7
"E00026668",6145.5
"E00026669",5858.2
"E00026670",6544.7
"E00026671",2572.1
"E00026672",3374.5
"E00026673",6960.0
"E00026674",4591.2
"E00026675",4497.7
"E00026676",6014.0
"E00026677",4885.1
"E00026678",5313.1
"E00026679",2176.7
"E00026680",582.9
"E00026681",3118.7
"E00026682",7236.5
"E00026683",6280.5
"E00026684",6894.7
"E00026685",2473.2
"E00026686",7460.3
"E00026687",5636.0
"E00026688",6164.9
"E00026689",977.5
"E00026690",6402.9
"E00026691",4424.0
"E00026692",1411.1
"E00026693",6817.0
"E00026694",4377.4
"E00026695",6092.7
"E00026696",4611.0
"E00026697",5950.1
"E00026698",3406.5
"E00026699",9285.7
"E00026700",9934.2
"E00026701",4853.8
"E00026702",7459.3
"E00026703",10901.2
"E00026704",8612.4
"E00026705",8915.1
"E00026706",8411.5
"E00026707",6301.4
"E00026708",7494.5
"E00026709",11015.0
"E00026710",4382.4
"E00026711",8750.0
"E00026712",9554.7
"E00026713",11428.6
"E00026714",12568.3
"E00026715",7378.9
"E00026716",14615.4
"E00026717",6476.4
"E00026718",14190.5
"E00026719",5470.2
"E00026720",6616.7
"E00026721",7213.5
"E00026722",8245.0
"E00026723",9688.2
"E00026724",8390.6
"E00026725",8159.8
"E00026726",14322.3
"E00026727",7582.9
"E00026728",7254.4
"E00026730",8333.3
"E00026731",7304.8
"E00026732",16209.2
"E00026733",9439.8
"E00026734",6690.9
"E00026735",8682.9
"E00026736",6848.2
"E00026737",8110.8
"E00026738",19244.0
"E00026739",7656.6
"E00026740",12386.8
"E00026741",14741.4
"E00026742",9180.3
"E00026743",9595.7
"E00026744",909.4
"E00026745",7121.5
"E00026746",8821.9
"E00026747",4471.2
"E00026748",8758.9
"E00026749",6322.8
"E00026750",10741.5
"E00026752",10553.7
"E00026753",4771.1
"E00026754",7677.7
"E00026755",11063.8
"E00026756",2256.1
"E00026758",8660.5
"E00026759",17460.3
"E00026760",28361.6
"E00026761",10465.1
"E00026764",7389.7
"E00026766",6504.8
"E00026767",9067.2
"E00026768",7379.2
"E00026769",9974.5
"E00026770",12572.8
"E00026771",12065.2
"E00026772",10189.6
"E00026773",4575.5
"E00026774",8061.0
"E00026775",10559.1
"E00026776",8159.5
"E00026777",6269.8
"E00026778",10857.8
"E00026779",12344.8
"E00026780",7473.7
"E00026781",15963.0
"E00026782",21945.9
"E00026783",11419.6
"E00026784",9025.3
"E00026785",5774.8
"E00026786",3593.3
"E00026787",9190.5
"E00026788",5255.4
"E00026789",6763.9
"E00026790",5664.2
"E00026791",5316.2
"E00026792",5904.1
"E00026793",5282.1
"E00026795",8497.4
"E00026796",2542.4
"E00026797",6784.9
"E00026798",5873.6
"E00026799",13409.1
"E00026800",2941.7
"E00026801",1720.3
"E00026802",5352.3
"E00026803",5478.5
"E00026804",5047.8
"E00026806",8673.3
"E00026807",6341.5
"E00026808",6121.5
"E00026809",2007.8
"E00026810",11851.9
"E00026811",7754.7
"E00026812",4226.3
"E00026813",3685.2
"E00026814",8923.5
"E00026815",9146.0
"E00026816",7854.0
"E00026817",4404.1
"E00026818",7980.8
"E00026819",8092.5
"E00026821",5329.2
"E00026822",3694.4
"E00026823",6098.6
"E00026824",14833.3
"E00026825",7284.0
"E00026826",7510.1
"E00026827",6437.8
"E00026828",6891.0
"E00026829",6666.7
"E00026830",4922.9
"E00026831",8642.0
"E00026832",8720.2
"E00026833",8071.8
"E00026834",7579.4
"E00026835",7544.2
"E00026837",8170.1
"E00026838",6408.3
"E00026840",9122.1
"E00026841",7446.8
"E00026842",9766.9
"E00026843",5504.3
"E00026844",15108.2
"E00026845",8200.0
"E00026846",6240.6
"E00026847",5676.2
"E00026848",20177.8
"E00026849",8660.7
"E00026850",6576.5
"E00026851",7535.5
"E00026852",11838.7
"E00026854",11940.6
"E00026855",3344.4
"E00026856",7337.1
"E00026857",5752.5
"E00026858",5288.0
"E00026859",7126.4
"E00026860",4379.4
"E00026861",10535.7
"E00026862",8147.3
"E00026863",9119.2
"E00026864",8373.2
"E00026865",7644.7
"E00026866",6566.6
"E00026867",14311.1
"E00026868",12216.2
"E00026869",13846.2
"E00026870",7986.9
"E00026871",10914.3
"E00026872",8210.1
"E00026873",10000.0
"E00026874",7009.7
"E00026875",11756.4
"E00026876",8648.1
"E00026877",3156.2
"E00026878",7993.2
"E00026879",7690.9
"E00026880",7451.4
"E00026881",6725.0
"E00026882",3845.1
"E00026883",7472.0
"E00026884",8296.8
"E00026885",6544.3
"E00026886",2736.7
"E00026887",7759.8
"E00026888",1923.1
"E00026889",7801.6
"E00026890",3622.0
"E00026891",8054.6
"E00026892",11333.3
"E00026893",8341.5
"E00026894",22035.4
"E00026895",8868.4
"E00026896",8324.6
"E00026897",19710.7
"E00026898",10750.0
"E00026899",10895.1
"E00026900",15313.7
"E00026901",15314.7
"E00026902",8180.1
"E00026903",13475.8
"E00026904",10839.7
"E00026905",22862.7
"E00026906",6271.2
"E00026907",3923.2
"E00026909",5770.0
"E00026910",5943.6
"E00026912",8080.6
"E00026913",6276.2
"E00026914",3429.2
"E00026915",6514.5
"E00026916",6907.9
"E00026917",8025.2
"E00026918",2165.6
"E00026919",6725.9
"E00026920",7989.7
"E00026921",7543.9
"E00026922",5911.3
"E00026923",1939.5
"E00026924",6012.4
"E00026925",2748.8
"E00026926",8160.7
"E00026927",3225.8
"E00026928",4050.5
"E00026929",6780.5
"E00026930",7873.3
"E00026931",5625.0
"E00026932",6938.3
"E00026934",5717.3
"E00026935",6402.9
"E00026936",2919.9
"E00026937",1814.4
"E00026938",261.8
"E00026939",7161.9
"E00026940",675.3
"E00026941",4335.3
"E00026942",7935.2
"E00026943",7738.1
"E00175804",33505.2
"E00175805",2329.0
"E00175807",10497.2
"E00175808",6692.1
"E00175809",14736.8
"E00175810",2769.2
"E00175814",19479.2
"E00175815",1220.1
"E00175818",9400.0
"E00175822",10238.1
"E00175823",13308.3
"E00175826",12023.6
"E00175827",1459.3
"E00175828",32826.1
"E00175830",9498.6
"E00175831",12895.8
"E00175833",7025.9
"E00175834",11441.4
"E00175835",1466.2
"E00175836",13823.5
"E00175837",4708.9
"E00175838",11589.1
"E00175839",1776.0
"E00175840",9493.0
"E00175842",24324.3
"E00175844",2301.0
"E00175845",892.6
"E00175846",1642.9
"E00175847",1430.1
"E00175849",8125.0
"E00175852",31463.4
"E00175853",48333.3
"E00175855",21382.1
"E00175856",12992.7
"E00175857",4676.5
"E00175858",4637.7
"E00175859",9659.1
"E00175860",27272.7
"E00175861",8935.7
"E00175862",8434.2
"E00175863",21578.9
"E00175864",6110.2
"E00175865",4187.8
"E00175866",25507.2
"E00175867",8489.8
"E00175868",2153.5
"E00175869",91052.6
"E00175870",10256.4
"E00175871",3632.2
"E00175872",31470.6
"E00175874",9042.6
"E00175876",1614.8
"E00175877",36500.0
"E00175878",7246.2
"E00175879",406.1
"E00175880",1529.7
"E00175881",3152.5
"E00175882",906.9
"E00175883",10673.6
"E00175884",5924.2
"E00175885",10848.2
"E00175886",10259.1
"E00175888",10176.5
"E00175889",7126.9
"E00175890",6425.0
"E00175891",1116.2
"E00175892",4849.6
"E00175893",3200.0
"E00175894",7792.7
"E00175896",4663.6
"E00175897",14807.7
"E00175898",7662.0
"E00175899",7029.4
"E00175900",10718.8
"E00175901",12648.4
"E00175902",1422.6
"E00175903",2082.8
"E00175904",7951.3
"E00175905",58806.0
"E00175907",13401.6
"E00175908",7708.3
"E00175909",11014.5
"E00175910",56785.7
"E00175911",14888.9
"E00175912",1402.4
